[2025-07-14 19:21:16] [INFO    ] discord.client: logging in using static token
[2025-07-14 19:21:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Yours_Truly', 'primary_guild': None, 'mfa_enabled': False, 'id': '1394027024909074604', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2469', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'cac6eaa3a0fe9faa293fd16cca0d2359', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1028686689067073568'}, {'unavailable': True, 'id': '1394035462359875674'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'hongkong', 'tel-aviv', 'singapore'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1394027024909074604', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-d-jh44",{"micros":95692,"calls":["id_created",{"micros":372,"calls":[]},"session_lookup_time",{"micros":377,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-147",{"micros":94451,"calls":["start_session",{"micros":76103,"calls":["discord-api-rpc-6b8c679576-bvzw9",{"micros":54256,"calls":["get_user",{"micros":6136},"get_guilds",{"micros":5088},"send_scheduled_deletion_message",{"micros":31},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":7535},"apex_experiments",{"micros":4712},"user_activities",{"micros":7},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":60,"calls":[]},"presence_started",{"micros":7734,"calls":[]},"guilds_started",{"micros":105,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":10424,"calls":[]},"connect_finished",{"micros":10429,"calls":[]},"build_ready",{"micros":17,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-07-14 19:21:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-14 19:21:18] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: cac6eaa3a0fe9faa293fd16cca0d2359).
[2025-07-14 19:21:18] [DEBUG   ] discord.client: Dispatching event connect
[2025-07-14 19:21:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'features': ['SOUNDBOARD'], 'nsfw': False, 'premium_subscription_count': 0, 'afk_timeout': 300, 'nsfw_level': 0, 'stickers': [], 'system_channel_flags': 0, 'rules_channel_id': None, 'profile': None, 'system_channel_id': None, 'max_members': 2500000, 'inventory_settings': None, 'icon': None, 'vanity_url_code': None, 'incidents_data': None, 'max_stage_video_channel_users': 50, 'id': '1028686689067073568', 'name': 'Test server', 'owner_configured_content_level': 0, 'banner': None, 'safety_alerts_channel_id': None, 'latest_onboarding_question_id': None, 'embedded_activities': [], 'afk_channel_id': None, 'threads': [], 'presences': [], 'explicit_content_filter': 0, 'verification_level': 0, 'application_command_counts': {}, 'description': None, 'region': 'deprecated', 'soundboard_sounds': [], 'default_message_notifications': 0, 'premium_tier': 0, 'large': False, 'hub_type': None, 'lazy': True, 'member_count': 4, 'moderator_reporting': None, 'guild_scheduled_events': [], 'application_id': None, 'mfa_level': 0, 'activity_instances': [], 'premium_progress_bar_enabled': False, 'joined_at': '2025-07-13T18:51:44.441000+00:00', 'roles': [{'version': 1665328418889, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1028686689067073568', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1752432704409, 'unicode_emoji': None, 'tags': {'bot_id': '1394027024909074604'}, 'position': 1, 'permissions': '563276639759424', 'name': 'Yours_Truly', 'mentionable': False, 'managed': True, 'id': '1394028542408396845', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'premium_features': None, 'voice_states': [], 'owner_id': '890200312567181373', 'emojis': [], 'max_video_channel_users': 25, 'stage_instances': [], 'version': 1697281172004, 'preferred_locale': 'en-US', 'discovery_splash': None, 'home_header': None, 'public_updates_channel_id': None, 'splash': None, 'members': [{'user': {'username': 'Yours_Truly', 'public_flags': 0, 'primary_guild': None, 'id': '1394027024909074604', 'global_name': None, 'display_name': None, 'discriminator': '2469', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1394028542408396845'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-13T18:51:44.441000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'unavailable': False, 'channels': [{'version': 1665328418894, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '1028686689671073862', 'flags': 0}, {'version': 1665328418897, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '1028686689671073863', 'flags': 0}, {'version': 1697281900121, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1028686689067073568', 'deny': '1049600', 'allow': '0'}], 'parent_id': '1028686689671073863', 'name': 'General', 'last_message_id': None, 'id': '1028686689671073865', 'flags': 0, 'bitrate': 64000}, {'version': 1665331843541, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1028686689671073862', 'name': 'hang-out', 'last_message_id': '1394035153260777602', 'id': '1028701053656510595', 'flags': 0}, {'version': 1697282003279, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1028686689671073863', 'name': 'waiting area', 'last_message_id': None, 'id': '1162709736060375132', 'flags': 0, 'bitrate': 64000}]}}
[2025-07-14 19:21:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-14 19:21:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 3, 'op': 0, 'd': {'features': [], 'nsfw': False, 'premium_subscription_count': 0, 'afk_timeout': 300, 'nsfw_level': 0, 'stickers': [], 'system_channel_flags': 0, 'rules_channel_id': None, 'profile': None, 'system_channel_id': '1394035462791762032', 'max_members': 2500000, 'inventory_settings': None, 'icon': None, 'vanity_url_code': None, 'incidents_data': None, 'max_stage_video_channel_users': 50, 'id': '1394035462359875674', 'name': 'Testttt', 'owner_configured_content_level': 0, 'banner': None, 'safety_alerts_channel_id': None, 'latest_onboarding_question_id': None, 'embedded_activities': [], 'afk_channel_id': None, 'threads': [], 'presences': [], 'explicit_content_filter': 0, 'verification_level': 0, 'application_command_counts': {}, 'description': None, 'region': 'deprecated', 'soundboard_sounds': [], 'default_message_notifications': 0, 'premium_tier': 0, 'large': False, 'hub_type': None, 'lazy': True, 'member_count': 3, 'moderator_reporting': None, 'guild_scheduled_events': [], 'application_id': None, 'mfa_level': 0, 'activity_instances': [], 'premium_progress_bar_enabled': False, 'joined_at': '2025-07-13T19:21:33.647000+00:00', 'roles': [{'version': 1752434354242, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1394035462359875674', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1752486877937, 'unicode_emoji': None, 'tags': {'bot_id': '1394027024909074604'}, 'position': 2, 'permissions': '563276639759424', 'name': 'Yours_Truly', 'mentionable': False, 'managed': True, 'id': '1394036047180206122', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1752486878372, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Gamer', 'mentionable': False, 'managed': False, 'id': '1394255713873821810', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}], 'premium_features': None, 'voice_states': [], 'owner_id': '890200312567181373', 'emojis': [], 'max_video_channel_users': 25, 'stage_instances': [], 'version': 1752434472665, 'preferred_locale': 'en-US', 'discovery_splash': None, 'home_header': None, 'public_updates_channel_id': None, 'splash': None, 'members': [{'user': {'username': 'Yours_Truly', 'public_flags': 0, 'primary_guild': None, 'id': '1394027024909074604', 'global_name': None, 'display_name': None, 'discriminator': '2469', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1394036047180206122'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-13T19:21:33.647000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'unavailable': False, 'channels': [{'version': 1752434354248, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '1394035462359875675', 'flags': 0}, {'version': 1752434354251, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '1394035462359875676', 'flags': 0}, {'version': 1752434354263, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1394035462359875675', 'name': 'general', 'last_message_id': '1394264066377121995', 'id': '1394035462791762032', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1752434354290, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1394035462359875676', 'name': 'General', 'last_message_id': None, 'id': '1394035462791762033', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}]}}
[2025-07-14 19:21:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-14 19:21:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 4, 'op': 0, 'd': {'nonce': 'e3000111380e8d6e986237e6f04ece1e', 'members': [{'user': {'username': 'a_motorhead_6483', 'public_flags': 128, 'primary_guild': None, 'id': '890200312567181373', 'global_name': 'D4RK$1DER', 'display_name': 'D4RK$1DER', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '770bd99d45df707ae79103f8d6ee27e1'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-10-09T15:13:38.855000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'sia00336', 'public_flags': 128, 'primary_guild': None, 'id': '930502746338115654', 'global_name': 'sia', 'display_name': 'sia', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '2be5412a018117ae014459820b49ff1c'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-10-09T15:13:50.304000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'a_simple_boy69', 'public_flags': 0, 'primary_guild': None, 'id': '971747791766433832', 'global_name': 'S1CK', 'display_name': 'S1CK', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '99777886abf06f34873536986d9cabaf'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-13T19:17:22.213000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Yours_Truly', 'public_flags': 0, 'primary_guild': None, 'id': '1394027024909074604', 'global_name': None, 'display_name': None, 'discriminator': '2469', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1394028542408396845'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-13T18:51:44.441000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1028686689067073568', 'chunk_index': 0, 'chunk_count': 1}}
[2025-07-14 19:21:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-14 19:21:18] [DEBUG   ] discord.state: Processed a chunk for 4 members in guild ID 1028686689067073568.
[2025-07-14 19:21:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 5, 'op': 0, 'd': {'nonce': 'b459a52573c155d0c90a8f48530fce05', 'members': [{'user': {'username': 'a_motorhead_6483', 'public_flags': 128, 'primary_guild': None, 'id': '890200312567181373', 'global_name': 'D4RK$1DER', 'display_name': 'D4RK$1DER', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '770bd99d45df707ae79103f8d6ee27e1'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-13T19:19:14.174000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'a_simple_boy69', 'public_flags': 0, 'primary_guild': None, 'id': '971747791766433832', 'global_name': 'S1CK', 'display_name': 'S1CK', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '99777886abf06f34873536986d9cabaf'}, 'roles': ['1394255713873821810'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-13T19:30:21.832000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Yours_Truly', 'public_flags': 0, 'primary_guild': None, 'id': '1394027024909074604', 'global_name': None, 'display_name': None, 'discriminator': '2469', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1394036047180206122'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-13T19:21:33.647000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1394035462359875674', 'chunk_index': 0, 'chunk_count': 1}}
[2025-07-14 19:21:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-14 19:21:18] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1394035462359875674.
[2025-07-14 19:21:20] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-07-14 19:21:20] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-07-14 19:21:20] [DEBUG   ] discord.client: Dispatching event ready
[2025-07-14 19:21:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 6, 'op': 0, 'd': {'user_id': '971747791766433832', 'timestamp': 1752501107, 'member': {'user': {'username': 'a_simple_boy69', 'public_flags': 0, 'primary_guild': None, 'id': '971747791766433832', 'global_name': 'S1CK', 'display_name': 'S1CK', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '99777886abf06f34873536986d9cabaf'}, 'roles': ['1394255713873821810'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-13T19:30:21.832000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1394035462791762032', 'guild_id': '1394035462359875674'}}
[2025-07-14 19:21:47] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-14 19:21:47] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-14 19:21:47] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-14 19:21:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-14T13:51:47.802000+00:00', 'pinned': False, 'nonce': '1394315445485436928', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1394255713873821810'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-13T19:30:21.832000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1394315447456763934', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!commands', 'components': [], 'channel_type': 0, 'channel_id': '1394035462791762032', 'author': {'username': 'a_simple_boy69', 'public_flags': 0, 'primary_guild': None, 'id': '971747791766433832', 'global_name': 'S1CK', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '99777886abf06f34873536986d9cabaf'}, 'attachments': [], 'guild_id': '1394035462359875674'}}
[2025-07-14 19:21:47] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-14 19:21:47] [DEBUG   ] discord.client: Dispatching event message
[2025-07-14 19:21:47] [DEBUG   ] discord.client: Dispatching event command
[2025-07-14 19:21:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-14T13:51:48.186000+00:00', 'pinned': False, 'nonce': '6856365124048063854', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1394036047180206122'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-13T19:21:33.647000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1394315449067503769', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Following commands are available \n 1.Hello \n 2.Time \n 3.Assign \n 4.Remove \n 5.DM \n 6.Reply', 'components': [], 'channel_type': 0, 'channel_id': '1394035462791762032', 'author': {'username': 'Yours_Truly', 'public_flags': 0, 'primary_guild': None, 'id': '1394027024909074604', 'global_name': None, 'display_name_styles': None, 'discriminator': '2469', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1394035462359875674'}}
[2025-07-14 19:21:48] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-14 19:21:48] [DEBUG   ] discord.client: Dispatching event message
[2025-07-14 19:21:48] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1394035462791762032/messages with {"content":"Following commands are available \n 1.Hello \n 2.Time \n 3.Assign \n 4.Remove \n 5.DM \n 6.Reply ","components":[],"nonce":"6856365124048063854","enforce_nonce":true,"tts":false} has returned 200
[2025-07-14 19:21:48] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-07-14 19:21:48] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1394035462791762032/messages has received {'type': 0, 'content': 'Following commands are available \n 1.Hello \n 2.Time \n 3.Assign \n 4.Remove \n 5.DM \n 6.Reply', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-07-14T13:51:48.186000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1394315449067503769', 'channel_id': '1394035462791762032', 'author': {'id': '1394027024909074604', 'username': 'Yours_Truly', 'avatar': None, 'discriminator': '2469', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '6856365124048063854'}
[2025-07-14 19:21:48] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-07-14 19:21:58] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-07-14 19:21:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-14 19:21:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 9, 'op': 0, 'd': {'user_id': '971747791766433832', 'timestamp': 1752501119, 'member': {'user': {'username': 'a_simple_boy69', 'public_flags': 0, 'primary_guild': None, 'id': '971747791766433832', 'global_name': 'S1CK', 'display_name': 'S1CK', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '99777886abf06f34873536986d9cabaf'}, 'roles': ['1394255713873821810'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-13T19:30:21.832000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1394035462791762032', 'guild_id': '1394035462359875674'}}
[2025-07-14 19:21:59] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-14 19:21:59] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-14 19:21:59] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-14 19:22:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 10, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-14T13:52:05.024000+00:00', 'pinned': False, 'nonce': '1394315517677797376', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1394255713873821810'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-13T19:30:21.832000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1394315519691067516', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!DM My homework', 'components': [], 'channel_type': 0, 'channel_id': '1394035462791762032', 'author': {'username': 'a_simple_boy69', 'public_flags': 0, 'primary_guild': None, 'id': '971747791766433832', 'global_name': 'S1CK', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '99777886abf06f34873536986d9cabaf'}, 'attachments': [], 'guild_id': '1394035462359875674'}}
[2025-07-14 19:22:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-14 19:22:05] [DEBUG   ] discord.client: Dispatching event message
[2025-07-14 19:22:05] [DEBUG   ] discord.client: Dispatching event command_error
[2025-07-14 19:22:05] [ERROR   ] discord.ext.commands.bot: Ignoring exception in command None
discord.ext.commands.errors.CommandNotFound: Command "DM" is not found
[2025-07-14 19:22:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 11, 'op': 0, 'd': {'user_id': '971747791766433832', 'timestamp': 1752501134, 'member': {'user': {'username': 'a_simple_boy69', 'public_flags': 0, 'primary_guild': None, 'id': '971747791766433832', 'global_name': 'S1CK', 'display_name': 'S1CK', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '99777886abf06f34873536986d9cabaf'}, 'roles': ['1394255713873821810'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-13T19:30:21.832000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1394035462791762032', 'guild_id': '1394035462359875674'}}
[2025-07-14 19:22:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-14 19:22:14] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-14 19:22:14] [DEBUG   ] discord.client: Dispatching event raw_typing
